log_id,aircraft_id,technician_id,maintenance_type,status,cost_usd,duration_hours,log_date,parts_replaced,notes
LOG-00053,AC-0047,TECH-0073,Avionics Check,complete,7536,11.3,2021-01-02,3,Issue found during inspection — escalated
LOG-00054,AC-0031,TECH-0084,Engine Inspection,in_progress,19191,21.7,2021-01-02,10,Replaced worn components — within tolerance
LOG-00055,AC-0139,TECH-0027,Structural Inspection,complete,4991,4.9,2021-01-02,7,
LOG-00056,AC-0010,TECH-0058,Engine Inspection,pending,15996,5.8,2021-01-02,4,Emergency repair required — grounded aircraft
LOG-00057,AC-0118,TECH-0123,Hydraulic System Repair,failed,16842,14.5,2021-01-02,2,
LOG-00058,AC-0014,TECH-0133,Engine Inspection,failed,21500,37.0,2021-01-02,6,Emergency repair required — grounded aircraft
LOG-00059,AC-0080,TECH-0074,Hydraulic System Repair,complete,7497,8.8,2021-01-02,0,Replaced worn components — within tolerance
LOG-00060,AC-0093,TECH-0137,Avionics Check,complete,12044,1.6,2021-01-02,10,
LOG-00061,AC-0010,TECH-0077,Software Update,complete,805,7.0,2021-01-02,2,Scheduled maintenance — no anomalies
LOG-00062,AC-0076,TECH-0125,Software Update,pending,2994,3.6,2021-01-02,11,Emergency repair required — grounded aircraft
LOG-00063,AC-0094,TECH-0125,Landing Gear Service,complete,11003,2.1,2021-01-02,2,
LOG-00064,AC-0105,TECH-0032,Landing Gear Service,complete,10626,5.3,2021-01-02,3,Replaced worn components — within tolerance
LOG-00065,AC-0001,TECH-0200,Avionics Check,complete,11399,8.8,2021-01-02,10,
LOG-00066,AC-0133,TECH-0182,Fuel System Check,in_progress,2396,21.1,2021-01-02,9,
LOG-00067,AC-0020,TECH-0173,Structural Inspection,complete,5975,9.5,2021-01-02,5,
LOG-00068,AC-0008,TECH-0027,Hydraulic System Repair,complete,10405,15.5,2021-01-02,6,
LOG-00069,AC-0001,TECH-0156,Tire & Brake Replacement,complete,2537,4.4,2021-01-02,7,
LOG-00070,AC-0057,TECH-0018,Engine Inspection,complete,19097,7.7,2021-01-02,3,Follow-up inspection required within 30 days
LOG-00071,AC-0064,TECH-0087,Landing Gear Service,complete,9647,8.5,2021-01-02,11,Replaced worn components — within tolerance
LOG-00072,AC-0118,TECH-0105,Engine Inspection,complete,12614,4.1,2021-01-02,1,Part ordered — awaiting delivery
LOG-00073,AC-0028,TECH-0159,Tire & Brake Replacement,complete,3580,4.7,2021-01-02,10,Part ordered — awaiting delivery
LOG-00074,AC-0121,TECH-0041,Engine Inspection,failed,14195,50.3,2021-01-02,1,Emergency repair required — grounded aircraft
LOG-00075,AC-0107,TECH-0034,Software Update,complete,543,13.9,2021-01-02,6,Replaced worn components — within tolerance
LOG-00076,AC-0049,TECH-0007,Engine Inspection,complete,10682,7.2,2021-01-02,5,Follow-up inspection required within 30 days
LOG-00077,AC-0120,TECH-0005,Fuel System Check,failed,4420,46.6,2021-01-02,9,
LOG-00078,AC-0044,TECH-0021,Structural Inspection,complete,8506,15.7,2021-01-02,10,All systems nominal post-maintenance
LOG-00079,AC-0056,TECH-0134,Landing Gear Service,complete,3557,12.7,2021-01-02,3,Routine check completed successfully
LOG-00080,AC-0111,TECH-0173,Software Update,complete,891,2.7,2021-01-02,5,Scheduled maintenance — no anomalies
LOG-00081,AC-0134,TECH-0120,Engine Inspection,in_progress,15821,32.0,2021-01-02,6,All systems nominal post-maintenance
LOG-00082,AC-0108,TECH-0163,Engine Inspection,pending,9822,14.5,2021-01-02,9,
LOG-00083,AC-0148,TECH-0106,Fuel System Check,complete,4425,3.4,2021-01-02,10,Issue found during inspection — escalated
LOG-00084,AC-0114,TECH-0087,Landing Gear Service,complete,3304,4.5,2021-01-02,10,
LOG-00085,AC-0078,TECH-0131,Fuel System Check,in_progress,1982,22.9,2021-01-02,5,All systems nominal post-maintenance
LOG-00086,AC-0130,TECH-0161,Engine Inspection,complete,20398,13.6,2021-01-02,7,Scheduled maintenance — no anomalies
LOG-00087,AC-0037,TECH-0038,Hydraulic System Repair,pending,15580,11.4,2021-01-02,1,All systems nominal post-maintenance
LOG-00088,AC-0020,TECH-0087,Landing Gear Service,complete,5309,9.6,2021-01-02,3,Emergency repair required — grounded aircraft
LOG-00089,AC-0026,TECH-0080,Engine Inspection,complete,15792,3.9,2021-01-02,6,
LOG-00090,AC-0029,TECH-0113,Structural Inspection,failed,6633,48.0,2021-01-02,4,Emergency repair required — grounded aircraft
LOG-00091,AC-0001,TECH-0144,Tire & Brake Replacement,complete,893,9.7,2021-01-02,8,Issue found during inspection — escalated
LOG-00092,AC-0119,TECH-0089,Fuel System Check,complete,4690,7.6,2021-01-02,1,Issue found during inspection — escalated
LOG-00093,AC-0035,TECH-0106,Hydraulic System Repair,pending,4836,3.0,2021-01-03,7,
LOG-00094,AC-0059,TECH-0071,Fuel System Check,complete,2314,10.9,2021-01-03,9,Routine check completed successfully
LOG-00095,AC-0069,TECH-0008,Avionics Check,failed,12331,42.2,2021-01-03,6,
LOG-00096,AC-0012,TECH-0131,Software Update,complete,2577,8.3,2021-01-03,4,Issue found during inspection — escalated
LOG-00097,AC-0020,TECH-0069,Structural Inspection,complete,7687,15.5,2021-01-03,1,Replaced worn components — within tolerance
LOG-00098,AC-0043,TECH-0128,Tire & Brake Replacement,pending,4648,12.4,2021-01-03,9,Part ordered — awaiting delivery
LOG-00099,AC-0126,TECH-0019,Tire & Brake Replacement,pending,4945,18.8,2021-01-03,10,Part ordered — awaiting delivery
LOG-00100,AC-0050,TECH-0135,Avionics Check,complete,13121,11.3,2021-01-03,0,Emergency repair required — grounded aircraft
LOG-00101,AC-0029,TECH-0086,Avionics Check,complete,11174,3.9,2021-01-03,6,Follow-up inspection required within 30 days
LOG-00102,AC-0039,TECH-0050,Engine Inspection,complete,8915,9.3,2021-01-03,8,
LOG-00103,AC-0038,TECH-0134,Software Update,complete,2750,12.2,2021-01-03,8,Issue found during inspection — escalated
LOG-00104,AC-0084,TECH-0133,Hydraulic System Repair,complete,8023,12.2,2021-01-03,11,
LOG-00105,AC-0128,TECH-0061,Tire & Brake Replacement,in_progress,2441,7.2,2021-01-03,4,Routine check completed successfully
LOG-00106,AC-0126,TECH-0095,Software Update,complete,1801,2.5,2021-01-03,3,
LOG-00107,AC-0045,TECH-0058,Fuel System Check,complete,5476,1.3,2021-01-03,1,Emergency repair required — grounded aircraft
LOG-00108,AC-0052,TECH-0150,Engine Inspection,pending,21659,13.7,2021-01-03,10,
LOG-00109,AC-0080,TECH-0185,Structural Inspection,complete,6027,6.9,2021-01-03,9,
LOG-00110,AC-0124,TECH-0032,Fuel System Check,complete,5454,12.9,2021-01-03,8,Emergency repair required — grounded aircraft
LOG-00111,AC-0119,TECH-0145,Tire & Brake Replacement,pending,4378,17.7,2021-01-03,10,Replaced worn components — within tolerance
LOG-00112,AC-0008,TECH-0186,Avionics Check,complete,8446,12.6,2021-01-03,1,
LOG-00113,AC-0085,TECH-0169,Engine Inspection,in_progress,12785,18.1,2021-01-03,5,
LOG-00114,AC-0129,TECH-0022,Structural Inspection,complete,5146,8.5,2021-01-03,10,Follow-up inspection required within 30 days
LOG-00115,AC-0008,TECH-0080,Structural Inspection,complete,8138,3.1,2021-01-03,2,Scheduled maintenance — no anomalies
LOG-00116,AC-0096,TECH-0042,Software Update,complete,2069,10.3,2021-01-03,4,Replaced worn components — within tolerance
LOG-00117,AC-0102,TECH-0079,Fuel System Check,in_progress,2039,13.6,2021-01-03,9,Issue found during inspection — escalated
LOG-00118,AC-0005,TECH-0136,Tire & Brake Replacement,failed,2140,14.8,2021-01-03,11,
LOG-00119,AC-0086,TECH-0046,Avionics Check,complete,13769,11.0,2021-01-03,5,Scheduled maintenance — no anomalies
LOG-00120,AC-0034,TECH-0176,Fuel System Check,in_progress,5694,22.1,2021-01-03,5,Scheduled maintenance — no anomalies
LOG-00121,AC-0055,TECH-0115,Fuel System Check,failed,2108,12.1,2021-01-03,0,
LOG-00122,AC-0119,TECH-0131,Software Update,pending,2935,19.7,2021-01-03,0,Replaced worn components — within tolerance
LOG-00123,AC-0114,TECH-0077,Fuel System Check,pending,4322,3.2,2021-01-03,9,Issue found during inspection — escalated
LOG-00124,AC-0145,TECH-0030,Engine Inspection,complete,21590,3.7,2021-01-03,9,Follow-up inspection required within 30 days
LOG-00125,AC-0026,TECH-0028,Tire & Brake Replacement,complete,4276,11.6,2021-01-03,4,
LOG-00126,AC-0136,TECH-0073,Software Update,complete,863,12.5,2021-01-03,9,Routine check completed successfully
LOG-00127,AC-0047,TECH-0153,Software Update,complete,2051,5.8,2021-01-03,6,Issue found during inspection — escalated
LOG-00128,AC-0113,TECH-0165,Hydraulic System Repair,complete,5938,10.5,2021-01-03,4,Follow-up inspection required within 30 days
LOG-00129,AC-0076,TECH-0179,Software Update,in_progress,1593,13.3,2021-01-03,0,Part ordered — awaiting delivery
LOG-00130,AC-0072,TECH-0039,Structural Inspection,complete,4851,5.9,2021-01-03,7,Follow-up inspection required within 30 days
LOG-00131,AC-0089,TECH-0083,Engine Inspection,complete,22389,14.9,2021-01-03,6,All systems nominal post-maintenance
LOG-00132,AC-0046,TECH-0200,Tire & Brake Replacement,complete,1423,11.7,2021-01-03,7,
LOG-00133,AC-0033,TECH-0067,Fuel System Check,failed,5331,42.1,2021-01-03,5,Part ordered — awaiting delivery
LOG-00134,AC-0001,TECH-0129,Hydraulic System Repair,failed,8986,24.1,2021-01-03,2,Follow-up inspection required within 30 days
LOG-00135,AC-0147,TECH-0038,Avionics Check,complete,5609,5.6,2021-01-03,4,Issue found during inspection — escalated
LOG-00136,AC-0031,TECH-0180,Fuel System Check,complete,4489,14.7,2021-01-03,7,Issue found during inspection — escalated
LOG-00137,AC-0142,TECH-0191,Tire & Brake Replacement,complete,4980,9.3,2021-01-03,11,
LOG-00138,AC-0053,TECH-0052,Hydraulic System Repair,complete,16446,9.2,2021-01-03,0,Part ordered — awaiting delivery
LOG-00139,AC-0048,TECH-0083,Avionics Check,complete,14241,6.3,2021-01-04,2,Routine check completed successfully
LOG-00140,AC-0069,TECH-0085,Tire & Brake Replacement,complete,2319,2.7,2021-01-04,7,Routine check completed successfully
LOG-00141,AC-0105,TECH-0188,Fuel System Check,complete,2420,8.6,2021-01-04,0,All systems nominal post-maintenance
LOG-00142,AC-0090,TECH-0013,Tire & Brake Replacement,complete,4435,15.1,2021-01-04,4,
LOG-00143,AC-0063,TECH-0017,Structural Inspection,complete,2250,11.0,2021-01-04,1,Emergency repair required — grounded aircraft
LOG-00144,AC-0073,TECH-0084,Landing Gear Service,pending,11532,8.4,2021-01-04,11,Scheduled maintenance — no anomalies
LOG-00145,AC-0089,TECH-0158,Landing Gear Service,complete,6352,13.1,2021-01-04,10,Replaced worn components — within tolerance
LOG-00146,AC-0013,TECH-0166,Structural Inspection,in_progress,7594,29.0,2021-01-04,8,Issue found during inspection — escalated
LOG-00147,AC-0073,TECH-0139,Hydraulic System Repair,failed,9370,27.9,2021-01-04,2,Emergency repair required — grounded aircraft
LOG-00148,AC-0077,TECH-0155,Tire & Brake Replacement,complete,3414,5.6,2021-01-04,10,Routine check completed successfully
LOG-00149,AC-0068,TECH-0038,Landing Gear Service,pending,6002,13.9,2021-01-04,7,Issue found during inspection — escalated
LOG-00150,AC-0098,TECH-0028,Fuel System Check,in_progress,2926,18.7,2021-01-04,11,Follow-up inspection required within 30 days
LOG-00151,AC-0125,TECH-0154,Tire & Brake Replacement,complete,2308,6.9,2021-01-04,4,Issue found during inspection — escalated
LOG-00152,AC-0102,TECH-0103,Tire & Brake Replacement,complete,4112,4.0,2021-01-04,4,All systems nominal post-maintenance
LOG-00153,AC-0132,TECH-0161,Avionics Check,complete,7050,5.4,2021-01-04,11,Scheduled maintenance — no anomalies
LOG-00154,AC-0102,TECH-0160,Software Update,complete,1593,5.2,2021-01-04,1,Part ordered — awaiting delivery
LOG-00155,AC-0019,TECH-0182,Structural Inspection,complete,4431,2.0,2021-01-04,7,Scheduled maintenance — no anomalies
LOG-00156,AC-0082,TECH-0153,Engine Inspection,in_progress,9407,5.7,2021-01-04,9,Replaced worn components — within tolerance
LOG-00157,AC-0141,TECH-0024,Landing Gear Service,complete,9543,8.9,2021-01-04,11,Scheduled maintenance — no anomalies
LOG-00158,AC-0023,TECH-0168,Hydraulic System Repair,complete,16353,11.9,2021-01-04,8,Emergency repair required — grounded aircraft
LOG-00159,AC-0083,TECH-0155,Structural Inspection,complete,3964,4.3,2021-01-04,4,Emergency repair required — grounded aircraft
LOG-00160,AC-0109,TECH-0046,Fuel System Check,complete,3186,12.9,2021-01-04,0,Issue found during inspection — escalated
LOG-00161,AC-0075,TECH-0084,Tire & Brake Replacement,pending,4515,19.9,2021-01-04,0,
LOG-00162,AC-0129,TECH-0097,Landing Gear Service,complete,10973,13.0,2021-01-04,6,Part ordered — awaiting delivery
LOG-00163,AC-0088,TECH-0069,Software Update,complete,2289,6.6,2021-01-04,11,All systems nominal post-maintenance
LOG-00164,AC-0054,TECH-0069,Landing Gear Service,complete,7227,12.9,2021-01-04,2,Emergency repair required — grounded aircraft
LOG-00165,AC-0089,TECH-0039,Software Update,complete,886,7.8,2021-01-04,0,Part ordered — awaiting delivery
LOG-00166,AC-0143,TECH-0157,Structural Inspection,complete,6771,5.6,2021-01-04,8,Part ordered — awaiting delivery
LOG-00167,AC-0065,TECH-0075,Engine Inspection,pending,14530,8.3,2021-01-04,6,
LOG-00168,AC-0076,TECH-0086,Software Update,complete,1298,11.0,2021-01-04,5,All systems nominal post-maintenance
LOG-00169,AC-0143,TECH-0031,Structural Inspection,failed,8627,12.6,2021-01-04,10,Issue found during inspection — escalated
LOG-00170,AC-0149,TECH-0065,Engine Inspection,complete,15078,13.9,2021-01-04,2,Routine check completed successfully
LOG-00171,AC-0147,TECH-0015,Structural Inspection,complete,6071,10.5,2021-01-04,5,
LOG-00172,AC-0060,TECH-0083,Software Update,complete,1540,14.7,2021-01-04,8,Emergency repair required — grounded aircraft
LOG-00173,AC-0093,TECH-0074,Avionics Check,complete,12036,10.4,2021-01-04,5,
LOG-00174,AC-0049,TECH-0009,Avionics Check,complete,7151,12.5,2021-01-04,0,Replaced worn components — within tolerance
LOG-00175,AC-0035,TECH-0013,Structural Inspection,complete,7268,10.9,2021-01-04,1,Emergency repair required — grounded aircraft
LOG-00176,AC-0102,TECH-0120,Fuel System Check,failed,3827,47.8,2021-01-04,9,
LOG-00177,AC-0011,TECH-0045,Engine Inspection,pending,20979,16.7,2021-01-04,11,
LOG-00178,AC-0099,TECH-0090,Tire & Brake Replacement,complete,2990,5.5,2021-01-04,11,Issue found during inspection — escalated
LOG-00179,AC-0110,TECH-0134,Fuel System Check,pending,3148,2.1,2021-01-04,7,Scheduled maintenance — no anomalies
LOG-00180,AC-0074,TECH-0104,Landing Gear Service,failed,4033,38.0,2021-01-04,10,Issue found during inspection — escalated
LOG-00181,AC-0009,TECH-0044,Structural Inspection,complete,6120,9.1,2021-01-04,2,
LOG-00182,AC-0003,TECH-0002,Fuel System Check,complete,2903,9.0,2021-01-04,6,Scheduled maintenance — no anomalies
LOG-00183,AC-0085,TECH-0157,Fuel System Check,complete,5545,1.2,2021-01-04,7,Replaced worn components — within tolerance
LOG-00184,AC-0026,TECH-0176,Landing Gear Service,complete,5237,9.6,2021-01-05,6,Routine check completed successfully
LOG-00185,AC-0072,TECH-0125,Structural Inspection,complete,8387,8.4,2021-01-05,2,Routine check completed successfully
LOG-00186,AC-0048,TECH-0012,Fuel System Check,complete,3591,10.6,2021-01-05,8,
LOG-00187,AC-0117,TECH-0114,Hydraulic System Repair,complete,4180,15.9,2021-01-05,0,
LOG-00188,AC-0012,TECH-0067,Engine Inspection,complete,12548,4.4,2021-01-05,1,Follow-up inspection required within 30 days
LOG-00189,AC-0133,TECH-0178,Hydraulic System Repair,complete,16833,1.4,2021-01-05,5,
LOG-00190,AC-0048,TECH-0011,Fuel System Check,complete,2890,15.7,2021-01-05,11,Routine check completed successfully
LOG-00191,AC-0037,TECH-0005,Fuel System Check,complete,4142,11.7,2021-01-05,8,Scheduled maintenance — no anomalies
LOG-00192,AC-0044,TECH-0045,Hydraulic System Repair,failed,12126,25.7,2021-01-05,9,Issue found during inspection — escalated
LOG-00193,AC-0015,TECH-0117,Fuel System Check,pending,4468,19.6,2021-01-05,6,Replaced worn components — within tolerance
LOG-00194,AC-0043,TECH-0175,Fuel System Check,pending,5777,3.7,2021-01-05,7,Replaced worn components — within tolerance
LOG-00195,AC-0087,TECH-0134,Engine Inspection,complete,20573,5.7,2021-01-05,7,Issue found during inspection — escalated
LOG-00196,AC-0070,TECH-0080,Structural Inspection,complete,6488,7.1,2021-01-05,9,Part ordered — awaiting delivery
LOG-00197,AC-0046,TECH-0094,Engine Inspection,pending,23522,10.0,2021-01-05,9,All systems nominal post-maintenance
LOG-00198,AC-0108,TECH-0084,Tire & Brake Replacement,complete,4052,7.1,2021-01-05,6,Scheduled maintenance — no anomalies
LOG-00199,AC-0123,TECH-0089,Engine Inspection,in_progress,12322,14.5,2021-01-05,3,Issue found during inspection — escalated
LOG-00200,AC-0021,TECH-0197,Avionics Check,complete,7358,5.4,2021-01-05,3,Issue found during inspection — escalated
LOG-00201,AC-0107,TECH-0191,Avionics Check,complete,13498,10.8,2021-01-05,5,
LOG-00202,AC-0080,TECH-0111,Tire & Brake Replacement,complete,1318,14.5,2021-01-05,7,
LOG-00203,AC-0047,TECH-0067,Fuel System Check,in_progress,2320,25.1,2021-01-05,4,Replaced worn components — within tolerance
LOG-00204,AC-0117,TECH-0175,Landing Gear Service,in_progress,9311,9.7,2021-01-05,8,
LOG-00205,AC-0124,TECH-0162,Engine Inspection,complete,11119,1.4,2021-01-05,8,Scheduled maintenance — no anomalies
LOG-00206,AC-0143,TECH-0012,Hydraulic System Repair,complete,16005,8.4,2021-01-05,8,Routine check completed successfully
LOG-00207,AC-0025,TECH-0027,Software Update,pending,995,15.9,2021-01-05,11,All systems nominal post-maintenance
LOG-00208,AC-0036,TECH-0197,Software Update,in_progress,1180,29.1,2021-01-05,6,Routine check completed successfully
LOG-00209,AC-0051,TECH-0105,Software Update,pending,1809,8.4,2021-01-05,5,Replaced worn components — within tolerance
LOG-00210,AC-0015,TECH-0086,Hydraulic System Repair,complete,12484,8.0,2021-01-05,2,
LOG-00211,AC-0068,TECH-0196,Tire & Brake Replacement,pending,3142,2.8,2021-01-05,3,
LOG-00212,AC-0021,TECH-0117,Avionics Check,complete,9682,3.8,2021-01-05,9,Scheduled maintenance — no anomalies
LOG-00213,AC-0141,TECH-0156,Tire & Brake Replacement,complete,1103,12.1,2021-01-05,0,
LOG-00214,AC-0019,TECH-0199,Fuel System Check,in_progress,4148,12.6,2021-01-05,5,Follow-up inspection required within 30 days
LOG-00215,AC-0034,TECH-0173,Engine Inspection,complete,20875,8.8,2021-01-05,3,Scheduled maintenance — no anomalies
LOG-00216,AC-0078,TECH-0130,Tire & Brake Replacement,complete,2764,5.9,2021-01-05,0,Follow-up inspection required within 30 days
LOG-00217,AC-0125,TECH-0137,Structural Inspection,failed,4293,22.8,2021-01-05,2,Replaced worn components — within tolerance
LOG-00218,AC-0117,TECH-0031,Fuel System Check,failed,2111,62.5,2021-01-05,10,
LOG-00219,AC-0052,TECH-0164,Avionics Check,pending,8273,13.2,2021-01-05,3,Part ordered — awaiting delivery
LOG-00220,AC-0027,TECH-0113,Avionics Check,complete,14219,7.4,2021-01-05,5,Follow-up inspection required within 30 days
LOG-00221,AC-0035,TECH-0105,Fuel System Check,pending,3158,17.4,2021-01-05,0,
LOG-00222,AC-0136,TECH-0015,Hydraulic System Repair,complete,14293,2.3,2021-01-05,8,
LOG-00223,AC-0144,TECH-0097,Fuel System Check,complete,2833,3.8,2021-01-05,5,
LOG-00224,AC-0106,TECH-0190,Fuel System Check,complete,2047,1.8,2021-01-05,5,
LOG-00225,AC-0146,TECH-0031,Structural Inspection,complete,9019,5.5,2021-01-05,4,Routine check completed successfully
LOG-00226,AC-0002,TECH-0155,Structural Inspection,complete,3671,12.9,2021-01-05,6,All systems nominal post-maintenance
LOG-00227,AC-0077,TECH-0002,Hydraulic System Repair,complete,5129,9.9,2021-01-05,7,Issue found during inspection — escalated
LOG-00228,AC-0132,TECH-0043,Hydraulic System Repair,complete,9373,5.5,2021-01-05,1,
LOG-00229,AC-0090,TECH-0115,Hydraulic System Repair,complete,15928,14.1,2021-01-05,7,Issue found during inspection — escalated
LOG-00230,AC-0089,TECH-0123,Software Update,complete,740,6.2,2021-01-06,7,
LOG-00231,AC-0094,TECH-0001,Software Update,complete,903,4.0,2021-01-06,1,Emergency repair required — grounded aircraft
LOG-00232,AC-0007,TECH-0009,Structural Inspection,complete,7737,13.5,2021-01-06,8,
LOG-00233,AC-0095,TECH-0188,Structural Inspection,pending,4780,16.5,2021-01-06,4,Replaced worn components — within tolerance
LOG-00234,AC-0108,TECH-0130,Tire & Brake Replacement,complete,3180,9.2,2021-01-06,8,Issue found during inspection — escalated
LOG-00235,AC-0074,TECH-0101,Software Update,in_progress,1428,11.9,2021-01-06,8,
LOG-00236,AC-0039,TECH-0186,Avionics Check,complete,14748,7.6,2021-01-06,6,
LOG-00237,AC-0141,TECH-0193,Software Update,complete,2652,5.5,2021-01-06,6,Emergency repair required — grounded aircraft
LOG-00238,AC-0071,TECH-0110,Tire & Brake Replacement,complete,4044,2.4,2021-01-06,6,Emergency repair required — grounded aircraft
LOG-00239,AC-0056,TECH-0140,Landing Gear Service,complete,9020,1.5,2021-01-06,0,
LOG-00240,AC-0042,TECH-0183,Avionics Check,complete,10027,4.0,2021-01-06,1,Replaced worn components — within tolerance
LOG-00241,AC-0036,TECH-0138,Engine Inspection,pending,14907,14.1,2021-01-06,1,Follow-up inspection required within 30 days
