aircraft_ids,aircraft_type,base,year_built,total_flight_hours,age_year,wear_score
AC-0052,F-35A,Nellis AFB NV,2019,950,5,0.131
AC-0053,C-130J,Langley AFB VA,2009,243,15,0.262
AC-0054,F-35B,Nellis AFB NV,2005,984,19,0.366
AC-0055,F-22A,Eglin AFB FL,2014,1192,10,0.226
AC-0056,C-130J,Nellis AFB NV,2021,495,3,0.075
AC-0057,F-35B,Nellis AFB NV,2010,1148,14,0.291
AC-0058,UH-60M,Langley AFB VA,2004,1047,20,0.386
AC-0059,UH-60M,Langley AFB VA,2000,990,24,0.45
AC-0060,E-3 Sentry,Edwards AFB CA,2007,668,17,0.317
AC-0061,C-130J,Edwards AFB CA,2020,1162,4,0.125
AC-0062,UH-60M,Eglin AFB FL,2011,208,13,0.227
AC-0063,F-35B,Edwards AFB CA,2011,1165,13,0.275
AC-0064,E-3 Sentry,Nellis AFB NV,2004,1034,20,0.385
AC-0065,F-35B,Langley AFB VA,2006,497,18,0.325
AC-0066,E-3 Sentry,Edwards AFB CA,2003,733,21,0.387
AC-0067,C-130J,Edwards AFB CA,2005,832,19,0.358
AC-0068,F-22A,Eglin AFB FL,2012,334,12,0.217
AC-0069,AH-64E,Eglin AFB FL,2019,757,5,0.121
AC-0070,B-1B,Nellis AFB NV,2014,850,10,0.209
AC-0071,F-22A,Langley AFB VA,2002,687,22,0.401
AC-0072,CH-53K,Eglin AFB FL,2022,1132,2,0.09
AC-0073,F-35B,Edwards AFB CA,2007,1197,17,0.343
AC-0074,CH-53K,Langley AFB VA,2019,1053,5,0.136
AC-0075,F-22A,Langley AFB VA,2015,591,9,0.18
AC-0076,E-3 Sentry,Edwards AFB CA,2012,1012,12,0.251
AC-0077,B-1B,Eglin AFB FL,2017,269,7,0.13
AC-0078,B-1B,Edwards AFB CA,2009,1045,15,0.302
AC-0079,F-35A,Langley AFB VA,2018,894,6,0.145
AC-0080,B-1B,"Hill AFB, UT ",2016,733,8,0.17
AC-0081,AH-64E,"Hill AFB, UT ",2018,128,6,0.106
AC-0082,B-1B,Nellis AFB NV,2022,438,2,0.055
AC-0083,F-22A,Edwards AFB CA,2004,599,20,0.363
AC-0084,F-35A,Edwards AFB CA,2020,610,4,0.097
AC-0085,F-22A,Nellis AFB NV,2022,316,2,0.049
AC-0086,F-22A,Nellis AFB NV,2008,1193,16,0.326
AC-0087,F-35C,Nellis AFB NV,2011,544,13,0.244
AC-0088,F-35A,Langley AFB VA,2020,975,4,0.115
AC-0089,F-22A,Edwards AFB CA,2000,266,24,0.413
AC-0090,F-35C,Langley AFB VA,2000,190,24,0.41
AC-0091,F-35C,Nellis AFB NV,2014,813,10,0.207
AC-0092,F-35A,Edwards AFB CA,2001,138,23,0.39
AC-0093,CH-53K,Langley AFB VA,2021,272,3,0.064
AC-0094,E-3 Sentry,Langley AFB VA,2015,752,9,0.188
AC-0095,AH-64E,Nellis AFB NV,2007,853,17,0.326
AC-0096,E-3 Sentry,Edwards AFB CA,2012,1181,12,0.259
AC-0097,B-1B,Nellis AFB NV,2020,575,4,0.095
AC-0098,AH-64E,Edwards AFB CA,2000,555,24,0.428
AC-0099,B-1B,"Hill AFB, UT ",2015,928,9,0.196
AC-0100,F-22A,Eglin AFB FL,2006,994,18,0.35
AC-0101,F-35B,Eglin AFB FL,2004,1124,20,0.39
AC-0102,F-35A,Eglin AFB FL,2021,486,3,0.074
AC-0103,AH-64E,Nellis AFB NV,2022,447,2,0.056
AC-0104,AH-64E,"Hill AFB, UT ",2002,289,22,0.381
AC-0105,F-22A,Edwards AFB CA,2011,604,13,0.247
AC-0106,CH-53K,Langley AFB VA,2015,923,9,0.196
AC-0107,F-35C,Edwards AFB CA,2018,1028,6,0.151
AC-0108,F-22A,Langley AFB VA,2004,1033,20,0.385
AC-0109,UH-60M,Edwards AFB CA,2021,233,3,0.062
AC-0110,F-35C,"Hill AFB, UT ",2013,157,11,0.191
AC-0111,F-35A,Langley AFB VA,2004,784,20,0.373
AC-0112,F-35C,Nellis AFB NV,2014,771,10,0.205
AC-0113,CH-53K,Edwards AFB CA,2016,272,8,0.147
AC-0114,F-35C,Edwards AFB CA,2013,914,11,0.229
AC-0115,F-35A,Langley AFB VA,2019,179,5,0.092
AC-0116,CH-53K,Nellis AFB NV,2004,985,20,0.383
AC-0117,E-3 Sentry,Nellis AFB NV,2011,302,13,0.232
AC-0118,AH-64E,"Hill AFB, UT ",2015,863,9,0.193
AC-0119,AH-64E,Nellis AFB NV,2015,146,9,0.157
AC-0120,B-1B,Nellis AFB NV,2020,755,4,0.104
AC-0121,E-3 Sentry,Nellis AFB NV,2006,570,18,0.328
AC-0122,E-3 Sentry,Eglin AFB FL,2003,1070,21,0.404
AC-0123,F-35C,"Hill AFB, UT ",2000,1135,24,0.457
AC-0124,AH-64E,Edwards AFB CA,2004,835,20,0.375
AC-0125,F-35A,Langley AFB VA,2022,883,2,0.077
AC-0126,C-130J,Edwards AFB CA,2009,1067,15,0.303
AC-0127,C-130J,"Hill AFB, UT ",2021,457,3,0.073
AC-0128,CH-53K,Langley AFB VA,2004,1071,20,0.387
AC-0129,AH-64E,"Hill AFB, UT ",2003,767,21,0.388
AC-0130,AH-64E,Nellis AFB NV,2001,472,23,0.407
AC-0131,C-130J,Langley AFB VA,2019,1131,5,0.14
AC-0132,AH-64E,Nellis AFB NV,2009,775,15,0.289
AC-0133,F-35C,Edwards AFB CA,2018,189,6,0.109
AC-0134,UH-60M,Edwards AFB CA,2000,797,24,0.44
AC-0135,F-35B,Langley AFB VA,2004,639,20,0.365
AC-0136,E-3 Sentry,Langley AFB VA,2012,831,12,0.242
AC-0137,B-1B,"Hill AFB, UT ",2003,968,21,0.398
AC-0138,CH-53K,"Hill AFB, UT ",2015,140,9,0.157
AC-0139,UH-60M,Nellis AFB NV,2015,839,9,0.192
AC-0140,C-130J,Langley AFB VA,2022,601,2,0.063
AC-0141,E-3 Sentry,Edwards AFB CA,2001,1058,23,0.436
AC-0142,AH-64E,"Hill AFB, UT ",2016,1028,8,0.185
AC-0143,B-1B,"Hill AFB, UT ",2019,560,5,0.111
AC-0144,AH-64E,Edwards AFB CA,2011,831,13,0.258
AC-0145,F-35A,"Hill AFB, UT ",2017,851,7,0.159
AC-0146,F-35A,Nellis AFB NV,2002,1024,22,0.418
AC-0147,B-1B,Langley AFB VA,2000,1008,24,0.45
AC-0148,B-1B,Edwards AFB CA,2000,489,24,0.424
AC-0149,C-130J,Langley AFB VA,2018,982,6,0.149
AC-0150,B-1B,"Hill AFB, UT ",2010,355,14,0.251
