log_id,aircraft_id,technician_id,maintenance_type,status,cost_usd,duration_hours,log_date,parts_replaced,notes,year,quarter,failure_within_30d
LOG-00037,AC-0041,TECH-0172,Fuel System Check,complete,4871.0,6.9,2021-01-01,5,Scheduled maintenance — no anomalies,2021,1,0
LOG-00038,AC-0062,TECH-0158,Tire & Brake Replacement,complete,1926.0,1.5,2021-01-01,4,All systems nominal post-maintenance,2021,1,0
LOG-00039,AC-0060,TECH-0186,Tire & Brake Replacement,complete,3098.0,14.5,2021-01-01,3,Emergency repair required — grounded aircraft,2021,1,1
LOG-00040,AC-0125,TECH-0126,Structural Inspection,failed,3360.0,21.9,2021-01-01,9,Issue found during inspection — escalated,2021,1,1
LOG-00041,AC-0111,TECH-0123,Tire & Brake Replacement,complete,4994.0,4.4,2021-01-01,5,No notes provided,2021,1,0
LOG-00042,AC-0014,TECH-0036,Tire & Brake Replacement,pending,3024.0,10.1,2021-01-01,1,Issue found during inspection — escalated,2021,1,0
LOG-00043,AC-0084,TECH-0133,Tire & Brake Replacement,complete,1748.0,9.7,2021-01-01,9,Part ordered — awaiting delivery,2021,1,0
LOG-00044,AC-0130,TECH-0124,Landing Gear Service,in_progress,8706.0,16.3,2021-01-01,1,No notes provided,2021,1,0
LOG-00045,AC-0070,TECH-0147,Avionics Check,complete,7744.0,8.5,2021-01-01,6,All systems nominal post-maintenance,2021,1,1
LOG-00046,AC-0145,TECH-0140,Structural Inspection,failed,7372.0,64.2,2021-01-01,7,No notes provided,2021,1,1
LOG-00047,AC-0123,TECH-0090,Software Update,complete,1074.0,13.2,2021-01-02,2,Scheduled maintenance — no anomalies,2021,1,0
LOG-00048,AC-0089,TECH-0188,Structural Inspection,complete,3049.0,1.2,2021-01-02,11,No notes provided,2021,1,0
LOG-00049,AC-0028,TECH-0083,Fuel System Check,failed,2631.0,39.9,2021-01-02,7,No notes provided,2021,1,1
LOG-00050,AC-0066,TECH-0139,Avionics Check,complete,10665.0,12.1,2021-01-02,7,Routine check completed successfully,2021,1,1
LOG-00051,AC-0005,TECH-0053,Hydraulic System Repair,complete,10387.0,11.5,2021-01-02,5,Part ordered — awaiting delivery,2021,1,0
LOG-00052,AC-0045,TECH-0020,Fuel System Check,complete,4878.0,6.4,2021-01-02,9,No notes provided,2021,1,1
LOG-00053,AC-0047,TECH-0073,Avionics Check,complete,7536.0,11.3,2021-01-02,3,Issue found during inspection — escalated,2021,1,0
LOG-00054,AC-0031,TECH-0084,Engine Inspection,in_progress,19191.0,21.7,2021-01-02,10,Replaced worn components — within tolerance,2021,1,1
LOG-00055,AC-0139,TECH-0027,Structural Inspection,complete,4991.0,4.9,2021-01-02,7,No notes provided,2021,1,0
LOG-00056,AC-0010,TECH-0058,Engine Inspection,pending,15996.0,5.8,2021-01-02,4,Emergency repair required — grounded aircraft,2021,1,0
LOG-00057,AC-0118,TECH-0123,Hydraulic System Repair,failed,16842.0,14.5,2021-01-02,2,No notes provided,2021,1,1
LOG-00058,AC-0014,TECH-0133,Engine Inspection,failed,21500.0,37.0,2021-01-02,6,Emergency repair required — grounded aircraft,2021,1,1
LOG-00059,AC-0080,TECH-0074,Hydraulic System Repair,complete,7497.0,8.8,2021-01-02,0,Replaced worn components — within tolerance,2021,1,0
LOG-00060,AC-0093,TECH-0137,Avionics Check,complete,12044.0,1.6,2021-01-02,10,No notes provided,2021,1,0
LOG-00061,AC-0010,TECH-0077,Software Update,complete,805.0,7.0,2021-01-02,2,Scheduled maintenance — no anomalies,2021,1,1
LOG-00062,AC-0076,TECH-0125,Software Update,pending,2994.0,3.6,2021-01-02,11,Emergency repair required — grounded aircraft,2021,1,0
LOG-00063,AC-0094,TECH-0125,Landing Gear Service,complete,11003.0,2.1,2021-01-02,2,No notes provided,2021,1,0
LOG-00064,AC-0105,TECH-0032,Landing Gear Service,complete,10626.0,5.3,2021-01-02,3,Replaced worn components — within tolerance,2021,1,0
LOG-00065,AC-0001,TECH-0200,Avionics Check,complete,11399.0,8.8,2021-01-02,10,No notes provided,2021,1,0
LOG-00066,AC-0133,TECH-0182,Fuel System Check,in_progress,2396.0,21.1,2021-01-02,9,No notes provided,2021,1,0
LOG-00067,AC-0020,TECH-0173,Structural Inspection,complete,5975.0,9.5,2021-01-02,5,No notes provided,2021,1,0
LOG-00068,AC-0008,TECH-0027,Hydraulic System Repair,complete,10405.0,15.5,2021-01-02,6,No notes provided,2021,1,1
LOG-00069,AC-0001,TECH-0156,Tire & Brake Replacement,complete,2537.0,4.4,2021-01-02,7,No notes provided,2021,1,0
LOG-00070,AC-0057,TECH-0018,Engine Inspection,complete,19097.0,7.7,2021-01-02,3,Follow-up inspection required within 30 days,2021,1,1
LOG-00071,AC-0064,TECH-0087,Landing Gear Service,complete,9647.0,8.5,2021-01-02,11,Replaced worn components — within tolerance,2021,1,0
LOG-00072,AC-0118,TECH-0105,Engine Inspection,complete,12614.0,4.1,2021-01-02,1,Part ordered — awaiting delivery,2021,1,0
LOG-00073,AC-0028,TECH-0159,Tire & Brake Replacement,failed,3580.0,4.7,2021-01-02,10,Part ordered — awaiting delivery,2021,1,1
LOG-00074,AC-0121,TECH-0041,Engine Inspection,failed,14195.0,50.3,2021-01-02,1,Emergency repair required — grounded aircraft,2021,1,1
LOG-00075,AC-0107,TECH-0034,Software Update,complete,543.0,13.9,2021-01-02,6,Replaced worn components — within tolerance,2021,1,0
LOG-00076,AC-0049,TECH-0007,Engine Inspection,complete,10682.0,7.2,2021-01-02,5,Follow-up inspection required within 30 days,2021,1,0
LOG-00077,AC-0120,TECH-0005,Fuel System Check,failed,4420.0,46.6,2021-01-02,9,No notes provided,2021,1,1
LOG-00078,AC-0044,TECH-0021,Structural Inspection,complete,8506.0,15.7,2021-01-02,10,All systems nominal post-maintenance,2021,1,0
LOG-00079,AC-0056,TECH-0134,Landing Gear Service,complete,3557.0,12.7,2021-01-02,3,Routine check completed successfully,2021,1,0
LOG-00080,AC-0111,TECH-0173,Software Update,complete,891.0,2.7,2021-01-02,5,Scheduled maintenance — no anomalies,2021,1,0
LOG-00081,AC-0134,TECH-0120,Engine Inspection,in_progress,15821.0,32.0,2021-01-02,6,All systems nominal post-maintenance,2021,1,1
LOG-00082,AC-0108,TECH-0163,Engine Inspection,pending,9822.0,14.5,2021-01-02,9,No notes provided,2021,1,0
LOG-00083,AC-0148,TECH-0106,Fuel System Check,complete,4425.0,3.4,2021-01-02,10,Issue found during inspection — escalated,2021,1,1
LOG-00084,AC-0114,TECH-0087,Landing Gear Service,complete,3304.0,4.5,2021-01-02,10,No notes provided,2021,1,0
LOG-00085,AC-0078,TECH-0131,Fuel System Check,in_progress,1982.0,22.9,2021-01-02,5,All systems nominal post-maintenance,2021,1,0
LOG-00086,AC-0130,TECH-0161,Engine Inspection,complete,20398.0,13.6,2021-01-02,7,Scheduled maintenance — no anomalies,2021,1,1
LOG-00087,AC-0037,TECH-0038,Hydraulic System Repair,pending,15580.0,11.4,2021-01-02,1,All systems nominal post-maintenance,2021,1,1
LOG-00088,AC-0020,TECH-0087,Landing Gear Service,complete,5309.0,9.6,2021-01-02,3,Emergency repair required — grounded aircraft,2021,1,0
LOG-00089,AC-0026,TECH-0080,Engine Inspection,complete,15792.0,3.9,2021-01-02,6,No notes provided,2021,1,0
LOG-00090,AC-0029,TECH-0113,Structural Inspection,failed,5989.0,48.0,2021-01-02,4,Emergency repair required — grounded aircraft,2021,1,1
LOG-00091,AC-0001,TECH-0144,Tire & Brake Replacement,complete,893.0,9.7,2021-01-02,8,Issue found during inspection — escalated,2021,1,0
LOG-00092,AC-0119,TECH-0089,Fuel System Check,complete,4690.0,7.6,2021-01-02,1,Issue found during inspection — escalated,2021,1,0
LOG-00093,AC-0035,TECH-0106,Hydraulic System Repair,pending,4836.0,3.0,2021-01-03,7,No notes provided,2021,1,1
LOG-00094,AC-0059,TECH-0071,Fuel System Check,complete,2314.0,10.9,2021-01-03,9,Routine check completed successfully,2021,1,0
LOG-00095,AC-0069,TECH-0008,Avionics Check,failed,12331.0,42.2,2021-01-03,6,No notes provided,2021,1,1
LOG-00096,AC-0012,TECH-0131,Software Update,complete,2577.0,8.3,2021-01-03,4,Issue found during inspection — escalated,2021,1,1
LOG-00097,AC-0020,TECH-0069,Structural Inspection,complete,7687.0,15.5,2021-01-03,1,Replaced worn components — within tolerance,2021,1,0
LOG-00098,AC-0043,TECH-0128,Tire & Brake Replacement,pending,4648.0,12.4,2021-01-03,9,Part ordered — awaiting delivery,2021,1,0
LOG-00099,AC-0126,TECH-0019,Tire & Brake Replacement,pending,4945.0,18.8,2021-01-03,10,Part ordered — awaiting delivery,2021,1,0
LOG-00100,AC-0050,TECH-0135,Avionics Check,complete,13121.0,11.3,2021-01-03,0,Emergency repair required — grounded aircraft,2021,1,1
LOG-00101,AC-0029,TECH-0086,Avionics Check,complete,11174.0,3.9,2021-01-03,6,Follow-up inspection required within 30 days,2021,1,0
LOG-00102,AC-0039,TECH-0050,Engine Inspection,complete,8915.0,9.3,2021-01-03,8,No notes provided,2021,1,0
LOG-00103,AC-0038,TECH-0134,Software Update,complete,2750.0,12.2,2021-01-03,8,Issue found during inspection — escalated,2021,1,0
LOG-00104,AC-0084,TECH-0133,Hydraulic System Repair,complete,8023.0,12.2,2021-01-03,11,No notes provided,2021,1,0
LOG-00105,AC-0128,TECH-0061,Tire & Brake Replacement,in_progress,2441.0,7.2,2021-01-03,4,Routine check completed successfully,2021,1,0
LOG-00106,AC-0126,TECH-0095,Software Update,complete,1801.0,2.5,2021-01-03,3,No notes provided,2021,1,0
LOG-00107,AC-0045,TECH-0058,Fuel System Check,complete,5476.0,1.3,2021-01-03,1,Emergency repair required — grounded aircraft,2021,1,1
LOG-00108,AC-0052,TECH-0150,Engine Inspection,pending,21659.0,13.7,2021-01-03,10,No notes provided,2021,1,0
LOG-00109,AC-0080,TECH-0185,Structural Inspection,complete,6027.0,6.9,2021-01-03,9,No notes provided,2021,1,0
LOG-00110,AC-0124,TECH-0032,Fuel System Check,complete,5454.0,12.9,2021-01-03,8,Emergency repair required — grounded aircraft,2021,1,0
LOG-00111,AC-0119,TECH-0145,Tire & Brake Replacement,pending,4378.0,17.7,2021-01-03,10,Replaced worn components — within tolerance,2021,1,0
LOG-00112,AC-0008,TECH-0186,Avionics Check,complete,8446.0,12.6,2021-01-03,1,No notes provided,2021,1,0
LOG-00113,AC-0085,TECH-0169,Engine Inspection,in_progress,16579.0,18.1,2021-01-03,5,No notes provided,2021,1,0
LOG-00114,AC-0129,TECH-0022,Structural Inspection,complete,5146.0,8.5,2021-01-03,10,Follow-up inspection required within 30 days,2021,1,0
LOG-00115,AC-0008,TECH-0080,Structural Inspection,complete,8138.0,3.1,2021-01-03,2,Scheduled maintenance — no anomalies,2021,1,1
LOG-00116,AC-0096,TECH-0042,Software Update,complete,2069.0,10.3,2021-01-03,4,Replaced worn components — within tolerance,2021,1,1
LOG-00117,AC-0102,TECH-0079,Fuel System Check,in_progress,2039.0,13.6,2021-01-03,9,Issue found during inspection — escalated,2021,1,1
LOG-00118,AC-0005,TECH-0136,Tire & Brake Replacement,failed,2932.0,14.8,2021-01-03,11,No notes provided,2021,1,1
LOG-00119,AC-0086,TECH-0046,Avionics Check,complete,13769.0,11.0,2021-01-03,5,Scheduled maintenance — no anomalies,2021,1,0
LOG-00120,AC-0034,TECH-0176,Fuel System Check,in_progress,5694.0,22.1,2021-01-03,5,Scheduled maintenance — no anomalies,2021,1,0
LOG-00121,AC-0055,TECH-0115,Fuel System Check,failed,2108.0,12.1,2021-01-03,0,No notes provided,2021,1,1
LOG-00122,AC-0119,TECH-0131,Software Update,pending,2935.0,19.7,2021-01-03,0,Replaced worn components — within tolerance,2021,1,0
LOG-00123,AC-0114,TECH-0077,Fuel System Check,pending,4322.0,3.2,2021-01-03,9,Issue found during inspection — escalated,2021,1,0
LOG-00124,AC-0145,TECH-0030,Engine Inspection,complete,21590.0,3.7,2021-01-03,9,Follow-up inspection required within 30 days,2021,1,0
LOG-00125,AC-0026,TECH-0028,Tire & Brake Replacement,complete,4276.0,11.6,2021-01-03,4,No notes provided,2021,1,0
LOG-00126,AC-0136,TECH-0073,Software Update,complete,863.0,12.5,2021-01-03,9,Routine check completed successfully,2021,1,0
LOG-00127,AC-0047,TECH-0153,Software Update,complete,2051.0,5.8,2021-01-03,6,Issue found during inspection — escalated,2021,1,0
LOG-00128,AC-0113,TECH-0165,Hydraulic System Repair,complete,5938.0,10.5,2021-01-03,4,Follow-up inspection required within 30 days,2021,1,1
LOG-00129,AC-0076,TECH-0179,Software Update,in_progress,1593.0,13.3,2021-01-03,0,Part ordered — awaiting delivery,2021,1,0
LOG-00130,AC-0072,TECH-0039,Structural Inspection,complete,4851.0,5.9,2021-01-03,7,Follow-up inspection required within 30 days,2021,1,1
LOG-00131,AC-0089,TECH-0083,Engine Inspection,complete,22389.0,14.9,2021-01-03,6,All systems nominal post-maintenance,2021,1,0
LOG-00132,AC-0046,TECH-0200,Tire & Brake Replacement,complete,1423.0,11.7,2021-01-03,7,No notes provided,2021,1,0
LOG-00133,AC-0033,TECH-0067,Fuel System Check,failed,5331.0,42.1,2021-01-03,5,Part ordered — awaiting delivery,2021,1,1
LOG-00134,AC-0001,TECH-0129,Hydraulic System Repair,failed,8986.0,24.1,2021-01-03,2,Follow-up inspection required within 30 days,2021,1,1
LOG-00135,AC-0147,TECH-0038,Avionics Check,complete,5609.0,5.6,2021-01-03,4,Issue found during inspection — escalated,2021,1,0
LOG-00136,AC-0031,TECH-0180,Fuel System Check,complete,4489.0,14.7,2021-01-03,7,Issue found during inspection — escalated,2021,1,0
LOG-00137,AC-0142,TECH-0191,Tire & Brake Replacement,complete,4980.0,9.3,2021-01-03,11,No notes provided,2021,1,0
LOG-00138,AC-0053,TECH-0052,Hydraulic System Repair,complete,16446.0,9.2,2021-01-03,0,Part ordered — awaiting delivery,2021,1,0
LOG-00139,AC-0048,TECH-0083,Avionics Check,complete,14241.0,6.3,2021-01-04,2,Routine check completed successfully,2021,1,0
LOG-00140,AC-0069,TECH-0085,Tire & Brake Replacement,complete,2319.0,2.7,2021-01-04,7,Routine check completed successfully,2021,1,0
LOG-00141,AC-0105,TECH-0188,Fuel System Check,complete,2420.0,8.6,2021-01-04,0,All systems nominal post-maintenance,2021,1,0
LOG-00142,AC-0090,TECH-0013,Tire & Brake Replacement,complete,2932.0,15.1,2021-01-04,4,No notes provided,2021,1,0
LOG-00143,AC-0063,TECH-0017,Structural Inspection,complete,2250.0,11.0,2021-01-04,1,Emergency repair required — grounded aircraft,2021,1,0
LOG-00144,AC-0073,TECH-0084,Landing Gear Service,pending,11532.0,8.4,2021-01-04,11,Scheduled maintenance — no anomalies,2021,1,1
LOG-00145,AC-0089,TECH-0158,Landing Gear Service,complete,6352.0,13.1,2021-01-04,10,Replaced worn components — within tolerance,2021,1,0
LOG-00146,AC-0013,TECH-0166,Structural Inspection,in_progress,7594.0,29.0,2021-01-04,8,Issue found during inspection — escalated,2021,1,0
LOG-00147,AC-0073,TECH-0139,Hydraulic System Repair,failed,9370.0,27.9,2021-01-04,2,Emergency repair required — grounded aircraft,2021,1,1
LOG-00148,AC-0077,TECH-0155,Tire & Brake Replacement,complete,3414.0,5.6,2021-01-04,10,Routine check completed successfully,2021,1,0
LOG-00149,AC-0068,TECH-0038,Landing Gear Service,pending,6002.0,13.9,2021-01-04,7,Issue found during inspection — escalated,2021,1,0
LOG-00150,AC-0098,TECH-0028,Fuel System Check,in_progress,2926.0,18.7,2021-01-04,11,Follow-up inspection required within 30 days,2021,1,1
LOG-00151,AC-0125,TECH-0154,Tire & Brake Replacement,complete,2308.0,6.9,2021-01-04,4,Issue found during inspection — escalated,2021,1,0
LOG-00152,AC-0102,TECH-0103,Tire & Brake Replacement,complete,4112.0,4.0,2021-01-04,4,All systems nominal post-maintenance,2021,1,0
LOG-00153,AC-0132,TECH-0161,Avionics Check,complete,9982.0,5.4,2021-01-04,11,Scheduled maintenance — no anomalies,2021,1,0
LOG-00154,AC-0102,TECH-0160,Software Update,complete,1593.0,5.2,2021-01-04,1,Part ordered — awaiting delivery,2021,1,1
LOG-00155,AC-0019,TECH-0182,Structural Inspection,complete,4431.0,2.0,2021-01-04,7,Scheduled maintenance — no anomalies,2021,1,0
LOG-00156,AC-0082,TECH-0153,Engine Inspection,in_progress,9407.0,5.7,2021-01-04,9,Replaced worn components — within tolerance,2021,1,0
LOG-00157,AC-0141,TECH-0024,Landing Gear Service,complete,9543.0,8.9,2021-01-04,11,Scheduled maintenance — no anomalies,2021,1,0
LOG-00158,AC-0023,TECH-0168,Hydraulic System Repair,complete,16353.0,11.9,2021-01-04,8,Emergency repair required — grounded aircraft,2021,1,0
LOG-00159,AC-0083,TECH-0155,Structural Inspection,complete,5989.0,4.3,2021-01-04,4,Emergency repair required — grounded aircraft,2021,1,0
LOG-00160,AC-0109,TECH-0046,Fuel System Check,complete,3186.0,12.9,2021-01-04,0,Issue found during inspection — escalated,2021,1,0
LOG-00161,AC-0075,TECH-0084,Tire & Brake Replacement,pending,4515.0,19.9,2021-01-04,0,No notes provided,2021,1,0
LOG-00162,AC-0129,TECH-0097,Landing Gear Service,complete,10973.0,13.0,2021-01-04,6,Part ordered — awaiting delivery,2021,1,0
LOG-00163,AC-0088,TECH-0069,Software Update,complete,2289.0,6.6,2021-01-04,11,All systems nominal post-maintenance,2021,1,0
LOG-00164,AC-0054,TECH-0069,Landing Gear Service,complete,7227.0,12.9,2021-01-04,2,Emergency repair required — grounded aircraft,2021,1,0
LOG-00165,AC-0089,TECH-0039,Software Update,complete,886.0,7.8,2021-01-04,0,Part ordered — awaiting delivery,2021,1,0
LOG-00166,AC-0143,TECH-0157,Structural Inspection,complete,6771.0,5.6,2021-01-04,8,Part ordered — awaiting delivery,2021,1,0
LOG-00167,AC-0065,TECH-0075,Engine Inspection,pending,14530.0,8.3,2021-01-04,6,No notes provided,2021,1,1
LOG-00168,AC-0076,TECH-0086,Software Update,complete,1298.0,11.0,2021-01-04,5,All systems nominal post-maintenance,2021,1,0
LOG-00169,AC-0143,TECH-0031,Structural Inspection,failed,8627.0,12.6,2021-01-04,10,Issue found during inspection — escalated,2021,1,1
LOG-00170,AC-0149,TECH-0065,Engine Inspection,complete,15078.0,13.9,2021-01-04,2,Routine check completed successfully,2021,1,0
LOG-00171,AC-0147,TECH-0015,Structural Inspection,complete,6071.0,10.5,2021-01-04,5,No notes provided,2021,1,1
LOG-00172,AC-0060,TECH-0083,Software Update,complete,1540.0,14.7,2021-01-04,8,Emergency repair required — grounded aircraft,2021,1,0
LOG-00173,AC-0093,TECH-0074,Avionics Check,complete,12036.0,10.4,2021-01-04,5,No notes provided,2021,1,0
LOG-00174,AC-0049,TECH-0009,Avionics Check,complete,7151.0,12.5,2021-01-04,0,Replaced worn components — within tolerance,2021,1,0
LOG-00175,AC-0035,TECH-0013,Structural Inspection,complete,7268.0,10.9,2021-01-04,1,Emergency repair required — grounded aircraft,2021,1,1
LOG-00176,AC-0102,TECH-0120,Fuel System Check,failed,3827.0,47.8,2021-01-04,9,No notes provided,2021,1,1
LOG-00177,AC-0011,TECH-0045,Engine Inspection,pending,20979.0,16.7,2021-01-04,11,No notes provided,2021,1,0
LOG-00178,AC-0099,TECH-0090,Tire & Brake Replacement,complete,2990.0,5.5,2021-01-04,11,Issue found during inspection — escalated,2021,1,0
LOG-00179,AC-0110,TECH-0134,Fuel System Check,pending,3148.0,2.1,2021-01-04,7,Scheduled maintenance — no anomalies,2021,1,0
LOG-00180,AC-0074,TECH-0104,Landing Gear Service,failed,4033.0,38.0,2021-01-04,10,Issue found during inspection — escalated,2021,1,1
LOG-00181,AC-0009,TECH-0044,Structural Inspection,complete,6120.0,9.1,2021-01-04,2,No notes provided,2021,1,0
LOG-00182,AC-0003,TECH-0002,Fuel System Check,complete,2903.0,9.0,2021-01-04,6,Scheduled maintenance — no anomalies,2021,1,0
LOG-00183,AC-0085,TECH-0157,Fuel System Check,complete,5545.0,1.2,2021-01-04,7,Replaced worn components — within tolerance,2021,1,0
LOG-00184,AC-0026,TECH-0176,Landing Gear Service,complete,5237.0,9.6,2021-01-05,6,Routine check completed successfully,2021,1,0
LOG-00185,AC-0072,TECH-0125,Structural Inspection,complete,8387.0,8.4,2021-01-05,2,Routine check completed successfully,2021,1,0
LOG-00186,AC-0048,TECH-0012,Fuel System Check,complete,3591.0,10.6,2021-01-05,8,No notes provided,2021,1,0
LOG-00187,AC-0117,TECH-0114,Hydraulic System Repair,complete,4180.0,15.9,2021-01-05,0,No notes provided,2021,1,0
LOG-00188,AC-0012,TECH-0067,Engine Inspection,complete,12548.0,4.4,2021-01-05,1,Follow-up inspection required within 30 days,2021,1,0
LOG-00189,AC-0133,TECH-0178,Hydraulic System Repair,complete,16833.0,1.4,2021-01-05,5,No notes provided,2021,1,1
LOG-00190,AC-0048,TECH-0011,Fuel System Check,complete,2890.0,15.7,2021-01-05,11,Routine check completed successfully,2021,1,0
LOG-00191,AC-0037,TECH-0005,Fuel System Check,complete,4142.0,11.7,2021-01-05,8,Scheduled maintenance — no anomalies,2021,1,0
LOG-00192,AC-0044,TECH-0045,Hydraulic System Repair,failed,12126.0,25.7,2021-01-05,9,Issue found during inspection — escalated,2021,1,1
LOG-00193,AC-0015,TECH-0117,Fuel System Check,pending,4468.0,19.6,2021-01-05,6,Replaced worn components — within tolerance,2021,1,0
LOG-00194,AC-0043,TECH-0175,Fuel System Check,pending,5777.0,3.7,2021-01-05,7,Replaced worn components — within tolerance,2021,1,1
LOG-00195,AC-0087,TECH-0134,Engine Inspection,complete,20573.0,5.7,2021-01-05,7,Issue found during inspection — escalated,2021,1,0
LOG-00196,AC-0070,TECH-0080,Structural Inspection,complete,6488.0,7.1,2021-01-05,9,Part ordered — awaiting delivery,2021,1,0
LOG-00197,AC-0046,TECH-0094,Engine Inspection,pending,23522.0,10.0,2021-01-05,9,All systems nominal post-maintenance,2021,1,1
LOG-00198,AC-0108,TECH-0084,Tire & Brake Replacement,complete,4052.0,7.1,2021-01-05,6,Scheduled maintenance — no anomalies,2021,1,0
LOG-00199,AC-0123,TECH-0089,Engine Inspection,in_progress,12322.0,14.5,2021-01-05,3,Issue found during inspection — escalated,2021,1,1
LOG-00200,AC-0021,TECH-0197,Avionics Check,complete,9982.0,5.4,2021-01-05,3,Issue found during inspection — escalated,2021,1,0
LOG-00201,AC-0107,TECH-0191,Avionics Check,complete,13498.0,10.8,2021-01-05,5,No notes provided,2021,1,1
LOG-00202,AC-0080,TECH-0111,Tire & Brake Replacement,complete,1318.0,14.5,2021-01-05,7,No notes provided,2021,1,0
LOG-00203,AC-0047,TECH-0067,Fuel System Check,in_progress,2320.0,25.1,2021-01-05,4,Replaced worn components — within tolerance,2021,1,0
